objectid,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,tract,cdbg2014,tracttext,Shape__Area,Shape__Length
1,42,3,40500,1,4.2003E+11,Block Group 1,G5030,S,268195,0,40.4406805,-79.9542332,Central Oakland,20,180.883,0.281,14,405,Yes,405,5.01E-05,0.033453399
2,42,3,40400,1,4.2003E+11,Block Group 1,G5030,S,75472,0,40.4458408,-79.9483932,North Oakland,56,320.679,0.499,14,404,Yes,404,2.08E-05,0.020358244
3,42,3,40200,2,4.2003E+11,Block Group 2,G5030,S,282679,0,40.4412437,-79.9626107,West Oakland,88,138.372,0.215,14,402,Yes,402,5.92E-05,0.059867257
4,42,3,30500,2,4.2003E+11,Block Group 2,G5030,S,284548,0,40.4403871,-79.9813476,Crawford-Roberts,24,166.101,0.258,15,305,Yes,305,7.10E-05,0.050198411
5,42,3,20300,1,4.2003E+11,Block Group 1,G5030,S,1593129,329216,40.4544996,-79.9812762,Strip District,80,390.864,0.608,13,203,No,203,0.00016718,0.077580985
6,42,3,20100,4,4.2003E+11,Block Group 4,G5030,S,281715,0,40.4406777,-79.9892121,Central Business District,17,411.593,0.64,16,201,No,201,0.000175996,0.075714365
7,42,3,262000,1,4.20033E+11,Block Group 1,G5030,S,607576,0,40.4632158,-79.994168,Spring Hill-City View,75,404.765,0.63,1,2620,Yes,2620,0.000173079,0.056877978
8,42,3,261500,1,4.20033E+11,Block Group 1,G5030,S,350522,0,40.4733966,-80.0097343,Perry South,62,581.656,0.905,2,2615,Yes,2615,0.000120088,0.066852649
9,42,3,261400,2,4.20033E+11,Block Group 2,G5030,S,353594,0,40.4619992,-80.0134962,Perry South,62,581.656,0.905,2,2614,Yes,2614,0.000128698,0.058256669
10,42,3,261200,1,4.20033E+11,Block Group 1,G5030,S,1057787,0,40.4922173,-80.0081121,Summer Hill,81,282.104,0.439,1,2612,No,2612,0.000120727,0.062810788
11,42,3,260900,1,4.20033E+11,Block Group 1,G5030,S,812036,0,40.4776383,-80.0025945,Northview Heights,58,201.558,0.313,1,2609,Yes,2609,8.61E-05,0.04290289
12,42,3,260700,2,4.20033E+11,Block Group 2,G5030,S,301991,0,40.4818975,-80.01087,Perry North,61,779.088,1.212,2,2607,Yes,2607,7.13E-05,0.053461887
13,42,3,563100,2,4.20036E+11,Block Group 2,G5030,S,880129,0,40.43201,-80.0530374,Westwood,89,445.009,0.692,4,5631,No,5631,0.000290765,0.106882686
14,42,3,562400,5,4.20036E+11,Block Group 5,G5030,S,138709,0,40.419736,-79.9991617,Beltzhoover,9,270.374,0.421,6,5624,No,5624,0.000201847,0.062022921
15,42,3,981000,1,4.2004E+11,Block Group 1,G5030,S,1377043,0,40.4730821,-79.9488759,Central Lawrenceville,18,619.199,0.963,13,9810,No,9810,0.000147483,0.067166325
16,42,3,170200,1,4.20032E+11,Block Group 1,G5030,S,406640,81747,40.4302576,-79.9922422,South Side Flats,72,601.553,0.936,7,1702,No,1702,0.000118771,0.059811412
17,42,3,180300,3,4.20032E+11,Block Group 3,G5030,S,140530,0,40.4191918,-79.9927314,Allentown,3,189.608,0.295,6,1803,Yes,1803,8.11E-05,0.052152639
18,42,3,170600,1,4.20032E+11,Block Group 1,G5030,S,326725,0,40.4249025,-79.9876098,South Side Slopes,73,460.632,0.716,7,1706,Yes,1706,8.67E-05,0.074372289
19,42,3,10300,2,4.2003E+11,Block Group 2,G5030,S,267511,0,40.4369004,-79.9903987,Bluff,11,210.51,0.327,15,103,Yes,103,9.00E-05,0.053731117
20,42,3,260200,3,4.20033E+11,Block Group 3,G5030,S,252788,7193,40.492508,-80.0177905,Perry North,61,779.088,1.212,2,2602,No,2602,0.000143954,0.095156135
21,42,3,250900,2,4.20033E+11,Block Group 2,G5030,S,384629,0,40.464157,-80.0039415,Fineview,33,160.488,0.25,3,2509,Yes,2509,6.87E-05,0.039795704
22,42,3,562900,1,4.20036E+11,Block Group 1,G5030,S,1385581,586785,40.4096285,-79.9486102,Hazelwood,39,1017.805,1.583,9,5629,Yes,5629,0.000711355,0.293504321
23,42,3,980000,1,4.2004E+11,Block Group 1,G5030,S,637235,237268,40.487579,-79.8907469,Lincoln-Lemington-Belmar,47,180.105,0.28,11,9800,No,9800,7.66E-05,0.045028501
24,42,3,561900,2,4.20036E+11,Block Group 2,G5030,S,652899,0,40.4670321,-79.8924785,Lincoln-Lemington-Belmar,47,984.873,1.532,11,5619,Yes,5619,0.000132846,0.06324468
25,42,3,130600,1,4.20031E+11,Block Group 1,G5030,S,365630,0,40.4521925,-79.8817225,East Hills,28,348.077,0.541,11,1306,Yes,1306,0.000148741,0.071832526
26,42,3,40900,3,4.2003E+11,Block Group 3,G5030,S,253498,0,40.4308074,-79.9518013,South Oakland,70,326.793,0.508,14,409,Yes,409,9.82E-05,0.059308722
27,42,3,562300,5,4.20036E+11,Block Group 5,G5030,S,394540,0,40.4142957,-79.9369121,Hazelwood,39,1017.805,1.583,9,5623,Yes,5623,0.000329747,0.081091991
